station,avg_PM25,max_PM25,avg_TEMP,avg_WSPM,lat,lon
Aotizhongxin,83.16365217887291,898.0,13.581907935240412,1.70847022587269,39.9822,116.3972
Changping,71.11944444444445,882.0,13.670840800404884,1.8540668491900525,40.218,116.231
Dingling,67.42985683321926,881.0,13.670840800344676,1.8540668491900525,40.292,116.22
Dongsi,86.31029260780288,737.0,13.66874628796685,1.8607118412046544,39.929,116.417
Guanyuan,83.04702258726898,680.0,13.581907935240409,1.70847022587269,39.929,116.339
Gucheng,84.34520305726672,770.0,13.855687214384249,1.3434091946155602,39.914,116.184
Huairou,69.94958076659822,762.0,12.429990847801209,1.6526551448779374,40.328,116.628
Nongzhanguan,85.28947068218116,844.0,13.668746287966856,1.8607118412046544,39.937,116.461
Shunyi,80.02106719142141,941.0,13.375588527010926,1.8075775724389689,40.127,116.655
Tiantan,82.25589208304814,821.0,13.66874628796685,1.8607118412046544,39.882,116.407
Wanliu,83.51605350216747,957.0,13.426322909763192,1.5013004791238878,39.987,116.287
Wanshouxigong,85.3565622861054,999.0,13.782290093579446,1.7453171343828429,39.878,116.352
